Name,Latitude,Longitude,Category
"Picadeli (Picadeli, bar à salades)",48.907329,2.364793,Salad Restaurant
Café Rosa,48.897826,2.375655,Bistro
Indiana Café,48.896289,2.38901,Latin American Restaurant
T'M Café,48.895781,2.383107,Bar
Café des Arts,48.906662,2.359586,Bistro
L'Avenue Café,48.892137,2.379172,Café
Café Balthazar,48.918746,2.363396,French Restaurant
Le Café Gaspard,48.916551,2.361631,Pizzeria
108 Café,48.891065,2.378263,Bar
"Picadeli (Picadeli, bar à salades)",48.817147,2.381243,Salad Restaurant
Masala Cafe,48.818822,2.374765,Indian Restaurant
Coupi Bar,48.8213,2.369993,Bar
Café Brasserie de la Mairie,48.812098,2.386416,Bar
Novotel Cafe (Novotel Café),48.815898,2.364287,Café
Café de la Gare,48.814276,2.3904,Café
Cafe des Sports,48.812511,2.392596,Café
Noodle Bar,48.823944,2.367986,Chinese Restaurant
Boru's Café,48.824888,2.369761,Brasserie
Au Bon Coin Café,48.825309,2.372079,Fast Food Restaurant
Cafe le Trasmontano,48.851586,2.473223,Restaurant
L'Avenue Café,48.835444,2.497607,Brewery
Cafe de la Mairie,48.847011,2.438892,Café
LAURENT DUCHÊNE Vincennes pâtisserie et café boutique,48.847855,2.438202,Pastry Shop
Olympe Sports Café,48.841818,2.432986,Brasserie
"Picadeli (Picadeli, bar à salades)",48.809356,2.471607,Salad Restaurant
"Picadeli (Picadeli, bar à salades)",48.84417,2.431437,Salad Restaurant
Shot Bar II,48.849278,2.508692,Café
"Picadeli (Picadeli, bar à salades)",48.84545,2.43047,Salad Restaurant
New Jack Café,48.854907,2.43879,BBQ Joint
Momento Café,48.838292,2.233999,Pizzeria
Coti's Café,48.837464,2.237715,Café
"Picadeli (Picadeli, bar à salades)",48.839549,2.239319,Salad Restaurant
"Picadeli (Picadeli, bar à salades)",48.842336,2.230248,Salad Restaurant
Ms Café,48.834057,2.243657,Lounge
Café Chérie,48.833288,2.243537,Cocktail Bar
J.P.L Café Coton,48.840865,2.240803,Clothing Store
Café Seguin,48.827416,2.234828,Bistro
Le Café du Théâtre,48.844491,2.233529,Brasserie
Breizh Café Boulogne,48.844561,2.233703,Dining and Drinking
Le Break Café,48.833682,2.355405,French Restaurant
Café Premier,48.836026,2.350033,Coffee Shop
Café d'Italie,48.832184,2.354755,Italian Restaurant
Café Margeride,48.8307,2.354457,Bar
Café Noisette,48.833021,2.34718,Café
Le Café d'Avant,48.839675,2.347257,Restaurant
Dealer de Café,48.842237,2.349927,Coffee Shop
Le Café Canon,48.826063,2.357063,French Restaurant
Nuance Café,48.845107,2.354849,Coffee Shop
Café des Peupliers,48.823982,2.352793,Diner
Café du Nord,48.879644,2.355752,Café
Paris Nord Café,48.879602,2.356071,Brasserie
Columbus Café & Co,48.879976,2.355867,Café
Le café de l'église,48.877539,2.351742,Bistro
Jaipur Café,48.876233,2.349552,Asian Restaurant
Café A,48.875348,2.360029,Bar
Café Marlette,48.87546,2.347964,Coffee Shop
Café Michalak & École Masterclass,48.87531,2.348304,Dessert Shop
Grand Café d'Athènes,48.873121,2.354806,Greek Restaurant
Café Rollin,48.882505,2.345611,Café
Café Contre-Allée,48.875788,2.28766,Bar
Café 55,48.875639,2.288,Bistro
Café de la Terrasse,48.877415,2.284771,Bar
L'Arc Café,48.876894,2.292031,Café
M M Café,48.876387,2.294306,Bar
Café Latéral,48.875379,2.294987,Bar
DS Café,48.870153,2.284505,Café
Café Victor Hugo,48.870137,2.285442,Café
Café Ponce,48.879218,2.296882,Bistro
D.S Café,48.881112,2.295188,Coffee Shop
"Picadeli (Picadeli, bar à salades)",48.794858,2.363674,Salad Restaurant
"Picadeli (Picadeli, bar à salades)",48.788402,2.365524,Salad Restaurant
STARBOX CAFE Resto thai,48.805559,2.376666,Night Club
Madras Café,48.811203,2.362908,Café
Le Brazza Café,48.809995,2.35876,Restaurant
"Picadeli (Picadeli, Bar à Salades)",48.809913,2.357483,Salad Restaurant
Café Brasserie de la Mairie,48.812098,2.386416,Bar
Cafe des Sports,48.812511,2.392596,Café
Café de la Mairie,48.813719,2.357836,Café
Novotel Cafe (Novotel Café),48.815898,2.364287,Café
Café Delmas,48.844669,2.349423,Bar
Strada Café,48.846922,2.351219,Café
Le Petit Café,48.847192,2.348459,Café
Dealer de Café,48.842237,2.349927,Coffee Shop
Café de la Nouvelle Mairie,48.845464,2.344831,Café
Jozi Café,48.847791,2.347102,Bar
Café Saint-Victor,48.848416,2.350404,Bar
Nuance Café,48.845107,2.354849,Coffee Shop
Nuage Café,48.849223,2.347453,Café
Wide Open Space  Bar,48.846207,2.342972,Cocktail Bar
Le Café des Chats,48.855875,2.371786,Tea Room
Café de l'Industrie,48.855554,2.371935,Bistro
Café le Paris,48.856115,2.370985,French Restaurant
Le Café Alain Ducasse Avec 1895 By Lavazza,48.855293,2.372206,Café
Café des Anges,48.855441,2.374533,Bistro
Cuba Compagnie Café,48.857157,2.368435,Coffee Shop
Street Bangkok Canteen & Bar,48.85421,2.371033,Fast Food Restaurant
Café Zadig,48.856565,2.379429,Brewery
Le Bar à Soupes,48.853372,2.375944,Fast Food Restaurant
Café Hugo,48.855889,2.366719,Café
Café Vavin,48.844003,2.330357,Bar
Cubana Café,48.842636,2.328927,Gastropub
Café Saint-Placide,48.846754,2.326949,Café
Café Montparnasse,48.844215,2.323519,Bar
Café la Bohème,48.841122,2.323882,Café
Café Trama,48.847521,2.323027,Bistro
360 Cafe,48.842087,2.322144,Café
Montparnasse Café,48.843317,2.320223,Brasserie
L'Adada Bar,48.840565,2.322254,Bar
Le Café de la Grande Épicerie,48.850499,2.323885,Cupcake Shop
Café du Marché,48.835917,2.300605,Bar
Tasco Café,48.835284,2.302458,French Restaurant
"Picadeli (Picadeli, bar à salades)",48.835089,2.303028,Salad Restaurant
Café Noisette,48.83354,2.294523,French Restaurant
Convention Café,48.83706,2.296566,Bar
Dupont Café,48.837258,2.296084,Café
The Counter Rugby Bar (Le Comptoir),48.835769,2.293033,Sports Bar
Novotel Café,48.839954,2.303306,Bistro
Odette & Charlus Café,48.840475,2.304052,Bar
Café Eugène,48.833699,2.286448,Bistro
Eiffel Café,48.854029,2.288857,Bar
Le Café le Cordon Bleu,48.852105,2.284976,Café
Café le Pierrot,48.849185,2.2984,Bistro
15 Café,48.849137,2.298543,Pub
